Index,Name,Attribute,Condition,Length
0,bearing/section_00_source_train_normal_0001_pro_A_vel_4_loc_A.wav,0,0,160000
1,bearing/section_00_source_train_normal_0002_pro_A_vel_4_loc_A.wav,0,0,160000
2,bearing/section_00_source_train_normal_0003_pro_A_vel_4_loc_A.wav,0,0,160000
3,bearing/section_00_source_train_normal_0004_pro_A_vel_4_loc_A.wav,0,0,160000
4,bearing/section_00_source_train_normal_0005_pro_A_vel_4_loc_A.wav,0,0,160000
5,bearing/section_00_source_train_normal_0006_pro_A_vel_4_loc_A.wav,0,0,160000
6,bearing/section_00_source_train_normal_0007_pro_A_vel_4_loc_A.wav,0,0,160000
7,bearing/section_00_source_train_normal_0008_pro_A_vel_4_loc_A.wav,0,0,160000
8,bearing/section_00_source_train_normal_0009_pro_A_vel_4_loc_A.wav,0,0,160000
9,bearing/section_00_source_train_normal_0010_pro_A_vel_4_loc_A.wav,0,0,160000
10,bearing/section_00_source_train_normal_0011_pro_A_vel_4_loc_A.wav,0,0,160000
11,bearing/section_00_source_train_normal_0012_pro_A_vel_4_loc_A.wav,0,0,160000
12,bearing/section_00_source_train_normal_0013_pro_A_vel_4_loc_A.wav,0,0,160000
13,bearing/section_00_source_train_normal_0014_pro_A_vel_4_loc_A.wav,0,0,160000
14,bearing/section_00_source_train_normal_0015_pro_A_vel_4_loc_A.wav,0,0,160000
15,bearing/section_00_source_train_normal_0016_pro_A_vel_4_loc_A.wav,0,0,160000
16,bearing/section_00_source_train_normal_0017_pro_A_vel_4_loc_A.wav,0,0,160000
17,bearing/section_00_source_train_normal_0018_pro_A_vel_4_loc_A.wav,0,0,160000
18,bearing/section_00_source_train_normal_0019_pro_A_vel_4_loc_A.wav,0,0,160000
19,bearing/section_00_source_train_normal_0020_pro_A_vel_4_loc_A.wav,0,0,160000
20,bearing/section_00_source_train_normal_0021_pro_A_vel_4_loc_A.wav,0,0,160000
21,bearing/section_00_source_train_normal_0022_pro_A_vel_4_loc_A.wav,0,0,160000
22,bearing/section_00_source_train_normal_0023_pro_A_vel_4_loc_A.wav,0,0,160000
23,bearing/section_00_source_train_normal_0024_pro_A_vel_4_loc_A.wav,0,0,160000
24,bearing/section_00_source_train_normal_0025_pro_A_vel_4_loc_A.wav,0,0,160000
25,bearing/section_00_source_train_normal_0026_pro_A_vel_4_loc_A.wav,0,0,160000
26,bearing/section_00_source_train_normal_0027_pro_A_vel_4_loc_A.wav,0,0,160000
27,bearing/section_00_source_train_normal_0028_pro_A_vel_4_loc_A.wav,0,0,160000
28,bearing/section_00_source_train_normal_0029_pro_A_vel_4_loc_A.wav,0,0,160000
29,bearing/section_00_source_train_normal_0030_pro_A_vel_4_loc_A.wav,0,0,160000
30,bearing/section_00_source_train_normal_0031_pro_A_vel_4_loc_A.wav,0,0,160000
31,bearing/section_00_source_train_normal_0032_pro_A_vel_4_loc_A.wav,0,0,160000
32,bearing/section_00_source_train_normal_0033_pro_A_vel_4_loc_A.wav,0,0,160000
33,bearing/section_00_source_train_normal_0034_pro_A_vel_4_loc_A.wav,0,0,160000
34,bearing/section_00_source_train_normal_0035_pro_A_vel_4_loc_A.wav,0,0,160000
35,bearing/section_00_source_train_normal_0036_pro_A_vel_4_loc_A.wav,0,0,160000
36,bearing/section_00_source_train_normal_0037_pro_A_vel_4_loc_A.wav,0,0,160000
37,bearing/section_00_source_train_normal_0038_pro_A_vel_4_loc_A.wav,0,0,160000
38,bearing/section_00_source_train_normal_0039_pro_A_vel_4_loc_A.wav,0,0,160000
39,bearing/section_00_source_train_normal_0040_pro_A_vel_4_loc_A.wav,0,0,160000
40,bearing/section_00_source_train_normal_0041_pro_A_vel_4_loc_A.wav,0,0,160000
41,bearing/section_00_source_train_normal_0042_pro_A_vel_4_loc_A.wav,0,0,160000
42,bearing/section_00_source_train_normal_0043_pro_A_vel_4_loc_A.wav,0,0,160000
43,bearing/section_00_source_train_normal_0044_pro_A_vel_4_loc_A.wav,0,0,160000
44,bearing/section_00_source_train_normal_0045_pro_A_vel_4_loc_A.wav,0,0,160000
45,bearing/section_00_source_train_normal_0046_pro_A_vel_4_loc_A.wav,0,0,160000
46,bearing/section_00_source_train_normal_0047_pro_A_vel_4_loc_A.wav,0,0,160000
47,bearing/section_00_source_train_normal_0048_pro_A_vel_4_loc_A.wav,0,0,160000
48,bearing/section_00_source_train_normal_0049_pro_A_vel_4_loc_A.wav,0,0,160000
49,bearing/section_00_source_train_normal_0050_pro_A_vel_4_loc_A.wav,0,0,160000
50,bearing/section_00_source_train_normal_0051_pro_A_vel_4_loc_A.wav,0,0,160000
51,bearing/section_00_source_train_normal_0052_pro_A_vel_4_loc_A.wav,0,0,160000
52,bearing/section_00_source_train_normal_0053_pro_A_vel_4_loc_A.wav,0,0,160000
53,bearing/section_00_source_train_normal_0054_pro_A_vel_4_loc_A.wav,0,0,160000
54,bearing/section_00_source_train_normal_0055_pro_A_vel_4_loc_A.wav,0,0,160000
